NUMBER,TITLE,AUTHOR,PUBLISHER,PUBYEAR,TYPE,CONTENTS,COVER_YN,LIB_NAME,LIB_CODE,REC_KEY,COVER_URL
1,"Microsoft Windows Internals : Microsoft Windows Server 2003, Windows XP, Windows 2000",Mark E. Russinovich ; David A. Soloman 공저 ; 김도균 ; 박종규 공역,정보문화사,2005,일반도서,N,N,남산도서관,111010,104166639,
2,"Microsoft Windows internals : microsoft Windows server 2003, Windows XP, Windows 2000","Mark E. Russinovich,David A. Solomon 저;김도균,박종규 역",정보문화사,2006,일반도서,,Y,,,104224351,http://mokcha.nl.go.kr/kolis/2006/KMO200614315.jpg
3,"(Microsoft)Windows Internals : Microsoft Windows Server 2003, Windows XP, Windows 2000",Mark E. Russinovich ; David A. Soloman 공저 ; 김도균 ; 박종규 공역,정보문화사,2005,일반도서,N,N,수원시선경도서관,141025,104853286,
4,"(Microsoft)Windows internals : Microsoft Windows server 2003, Windows XP, and Windows 2000",Mark E. Russinovich ; David A. Solomon 같이저 ; 김도균 ; 박종규 같이역,정보문화사,2006,일반도서,N,N,용산도서관,111019,104337202,
5,제로데이,마크 러시<b>노비치</b> 지음  ; 김지량 옮김,제이펍,2012,일반도서,N,N,정독도서관,111020,200795966,
