NUMBER,TITLE,AUTHOR,PUBLISHER,PUBYEAR,TYPE,CONTENTS,COVER_YN,LIB_NAME,LIB_CODE,REC_KEY
60,푸루타크英雄傳,黃順元 ; 許允碩 공편,고려출판사,1954,일반도서,N,N,부산광역시 시민도서관(통합도서),121008,702141
61,罪와罰,도스또옙스키 著 ; 黃順元 ; 許允碩 共譯,銘信社,1954,일반도서,N,N,부산광역시 시민도서관(통합도서),121008,701953
62,(長篇小說)카인의 後裔,黃順元 著,中央文化社,단기42871954,일반도서,N,N,국립중앙도서관,011001,225736
63,罪와 罰,도스또에프스키이 著 ; 黃順元 ; 許允碩 共譯,銘信社,단기42881955,일반도서,N,N,국립중앙도서관,011001,182607
64,(小說集)鶴,黃順元 著,中央文化社,檀紀42891956,일반도서,,N,,,16124110
65,(長篇小說)人間接木,黃順元 著,中央文化社,단기42901957,일반도서,N,N,국립중앙도서관,011001,225737
66,鶴,黃順元 저,중앙문화사,1957,일반도서,N,N,부산광역시 시민도서관(통합도서),121008,704615
67,"별과 같이 살다, 카인의 後裔",黃順元 著,문학과지성사,1994,일반도서,N,N,평택시립도서관팽성분관,141016,1953385
68,五大英雄傳,許允碩 ; 黃順元 共編,고려출판사,1958,일반도서,N,N,부산광역시 시민도서관(통합도서),121008,705340
69,三國志,羅貫中 著 ; 金東里 ; 黃順元 ; 許允碩 共編,博英社,1958,일반도서,N,N,부산광역시 시민도서관(통합도서),121008,705082
70,惡靈,도스토예프스키 著 ; <b>황순원</b> ; 김동리 譯,진명문화사,1958,일반도서,N,N,대구광역시립중앙도서관,122004,941782
71,(黃順元小說集)잃어버린 사람들,黃順元 著,中央文化社,단기42911958,일반도서,N,N,국립중앙도서관,011001,309550
72,(大學)敎養國文選,黃順元...等編,凡潮社,1958檀紀4291,일반도서,Y,N,국립중앙도서관,011001,24178575
73,三國志. 1 - 5,羅貫中 著 ; 金東里 ; 黃順元 ; 許允碩 共譯,博英社,단기42911958,일반도서,N,N,국립중앙도서관,011001,220908
74,별과 같이 살다 외,<b>황순원</b> 저,민중서관,1959,일반도서,N,N,서귀포학생문화원도서관,149001,23113143
75,五大英雄傳,許允碩 ; 黃順元 共編,高麗出版社,단기42921959,일반도서,N,N,국립중앙도서관,011001,178962
76,"별과 같이 살다,카인의 후예. 22",<b>황순원</b> 저,민중서관,1959,일반도서,N,N,춘천평생교육정보관,142021,21852062
77,"별과 같이 살다, 카인의 後裔, 人間接木",黃順元 著,民衆書館,檀紀42921959,일반도서,N,N,부산광역시 사하도서관(통합도서),121006,19272760
78,나무들 비탈에 서다,黃順元 著,思想界社出版部,단기42931960,일반도서,N,N,국립중앙도서관,011001,225738
79,罪와 罰. 上,"도스토예프스키 著;黃順元,許允碩 共譯",法文社,檀紀42931960,일반도서,,N,,,162419249
80,罪와 罰. 上 - 下,도스또에프스키 著 ; 黃順元 ; 許允碩 共譯,法文社,단기42931960,일반도서,N,N,국립중앙도서관,011001,287290
81,黃順元全集,黃順元 著,창우사,1964,일반도서,,N,,,704076
82,黃順元全集. 1 - 6,黃順元 著,創又社,1964-1965,일반도서,N,N,국립중앙도서관,011001,339785
83,너와 나만의 時間,黃順元 著,正音社,1964,일반도서,N,N,국립중앙도서관,011001,195825
84,黃順元全集. 第1卷,著者: 黃順元,創又社,1965,일반도서,,N,,,139442846
85,黃順元全集,黃順元 저,創又社,1966,일반도서,N,N,원주시립도서관,142015,2148396
86,"잃어버린 사람들, 너와 나만의 時間",黃順元 著,조광출판사,1969,일반도서,N,N,부산광역시 시민도서관(통합도서),121008,723393
87,黃順元代表作選集. 3,黃順元 著,韓光出版社,1969,일반도서,N,N,국립중앙도서관,011001,23191609
88,"木炭畵, 骨董品, 放歌, 늪, 기러기, 겨울개나리",黃順元 著,조광출판사,1969,일반도서,N,N,부산광역시 시민도서관(통합도서),121008,721248
89,黃順元代表作選集. 1. 日月.原色 오뚜기,黃順元 著.,朝光出版社,1969,일반도서,Y,N,,,218500372
90,"<b>황순원</b>대표작선집. 2 : 인간접목,나무들 비탈에 서다",<b>황순원</b>,조광출판사,1969,일반도서,Y,N,국립중앙도서관,011001,23914325
91,<b>황순원</b> 대표선집,<b>황순원</b> 저,조광출판사,1969,일반도서,N,N,충청북도충주학생회관,143012,1546063
92,목넘이 마을의 개,黃順元 저,조광출판사,1969,일반도서,N,N,부산광역시 시민도서관(통합도서),121008,721994
93,黃順元代表作選集. 5,黃順元 著,韓光出版社,1969,일반도서,N,N,국립중앙도서관,011001,218500418
94,黃順元 代表作選集,黃順元 著,朝光出版社,1969,일반도서,N,N,한밭도서관,125003,1374026
95,黃順元代表作選集. 2,黃順元 著,韓光出版社,1969,일반도서,N,N,국립중앙도서관,011001,218500586
96,韓國短篇文學全集Ⅳ,韓國短篇文學全集刊行會 著,白水社,1970,일반도서,N,N,경기도립과천도서관,141004,11544326
97,韓國短篇文學全集. 3,韓國短篇文學 全集刊行會 編,白水社,1970,일반도서,N,N,경기도립성남도서관,141008,102728658
98,韓國三大作家全集. 6 : 목탄화; 골동품; 방가; 늪; 기러기; 겨울개나리,黃順原 著,三省出版社,1970,일반도서,N,N,평생교육원완산도서관,145017,868479
99,常綠樹 ; 永遠의 미소. 明 ; 카인의 後裔,沈勳 著 / 黃順元 著,三中堂,1970,일반도서,N,N,국립중앙도서관,011001,339817
100,별과같이살다외,<b>황순원</b> 저,민중서관,1970,일반도서,N,N,괴산도서관,143001,1708218
